chartdefinition,reportpaneltooltip, 0.833333333333333,1,creates a new instance of chartdefinition,creates a new instance of reportpaneltooltip
addressbean,customexpression, 0.833333333333333,1,creates a new instance of addressbean,creates a new instance of customexpression
jrchartreportelement,jrsubreportreturnvalue, 0.833333333333333,1,creates a new instance of jrchartreportelement,creates a new instance of jrsubreportreturnvalue
importdialog,colorselectorpanel, 0.75,1,creates new form importdialog,creates new form colorselectorpanel
jrtextexpressionarea,statictextreportelement, 0.833333333333333,1,creates a new instance of jrtextexpressionarea,creates a new instance of statictextreportelement
fileentry,chartcellrenderer, 0.833333333333333,1,creates a new instance of fileentry,creates a new instance of chartcellrenderer
messagebox,jrproperty, 0.833333333333333,1,creates a new instance of messagebox,creates a new instance of jrproperty
splashdialog,documentstructurepanel, 0.75,1,creates new form splashdialog,creates new form documentstructurepanel
splitallowed,isremovelinewhenblank, 0.75,2,getter for property splitallowed,getter for property isremovelinewhenblank,setter for property splitallowed,setter for property isremovelinewhenblank
misc,jreportpanel, 0.833333333333333,1,creates a new instance of misc,creates a new instance of jreportpanel
piedatasetpanel,fieldpatterndialog, 0.75,1,creates new form piedatasetpanel,creates new form fieldpatterndialog
x,archc, 0.8,1,this is the x format,this is the archc format
chart,documentstructuretreenode, 0.833333333333333,1,creates a new instance of chart,creates a new instance of documentstructuretreenode
pdfencoding,jmdimenubar, 0.833333333333333,1,creates a new instance of pdfencoding,creates a new instance of jmdimenubar
elementfactory,pagenumberobject, 0.833333333333333,1,creates a new instance of elementfactory,creates a new instance of pagenumberobject
customexpression,treetransferthandler, 0.833333333333333,1,creates a new instance of customexpression,creates a new instance of treetransferthandler
oracleoptions,jquerydesigner, 0.75,1,creates new form oracleoptions,creates new form jquerydesigner
timeseriesdataset,chartreportelement, 0.833333333333333,1,creates a new instance of timeseriesdataset,creates a new instance of chartreportelement
unit,scriptletcode, 0.833333333333333,1,creates a new instance of unit,creates a new instance of scriptletcode
fieldpatterndialog,expressionsheetpanel, 0.75,1,creates new form fieldpatterndialog,creates new form expressionsheetpanel
type,boundary, 0.8,1,the type of the element,adjusting the boundary of the report element
ireportchartdialog,massivecompilationframe, 0.75,1,creates new form ireportchartdialog,creates new form massivecompilationframe
transparent,isremovelinewhenblank, 0.75,2,getter for property transparent,getter for property isremovelinewhenblank,setter for property transparent,setter for property isremovelinewhenblank
piedataset,jrcvsdatasource, 0.833333333333333,1,creates a new instance of piedataset,creates a new instance of jrcvsdatasource
charttitle,reportelementsheetpanel, 0.833333333333333,1,creates a new instance of charttitle,creates a new instance of reportelementsheetpanel
